0,1,2,3,4,5
0.0,0.0,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.0,0.0,10.0,9.999999999983716,9.999999991350014
1.0,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.0,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.0,0.0,2.0,0.0,0.17773764688932392,0.7954949077218981
1.0,0.0,2.0,0.0,0.17245441703086786,0.7855981532321035
1.0,1.0,2.0,0.0,0.17480070450565838,0.7909003543605406
0.0,1.0,2.0,0.0,0.1758934838746974,0.7920693071346379
0.09999999999981467,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.1999999999995579,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.2999999999992664,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.3999999999989749,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.4999999999986943,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.5999999999989468,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.69999999999921,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.7999999999994734,0.0,0.0,10.0,9.999999999983716,9.999999991350014
0.8999999999997368,0.0,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.09999999999981467,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.1999999999995579,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.2999999999992664,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.3999999999989749,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.4999999999986943,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.5999999999989468,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.69999999999921,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.7999999999994734,0.0,10.0,9.999999999983716,9.999999991350014
1.0,0.8999999999997368,0.0,10.0,9.999999999983716,9.999999991350014
0.8999999999995836,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.7999999999999998,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.7000000000006934,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.6000000000013869,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.5000000000020587,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.4000000000016644,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.3000000000012483,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.2000000000008322,1.0,0.0,10.0,9.999999999983716,9.999999991350014
0.100000000000416,1.0,0.0,10.0,9.999999999983716,9.999999991350014
